"","Ga","Method"
"439",2.34333342008427,"SP(1.5)"
"440",2.19743765287322,"SP(1.5)"
"441",2.4804762724084,"SP(1.5)"
"442",4.43022542101535,"SP(1.5)"
"443",2.1166748662962,"SP(1.5)"
"444",3.33715280289865,"SP(1.5)"
"445",2.12781134457048,"SP(1.5)"
"446",4.32778883633248,"SP(1.5)"
"447",2.4730820892173,"SP(1.5)"
"448",2.29101070639978,"SP(1.5)"
"449",2.20193860682458,"SP(1.5)"
"450",2.38310274453875,"SP(1.5)"
"451",2.62893950396778,"SP(1.5)"
"452",4.27462337980331,"SP(1.5)"
"453",2.10616687120642,"SP(1.5)"
"454",2.76789699191176,"SP(1.5)"
"455",2.33753640136376,"SP(1.5)"
"456",3.8354418253205,"SP(1.5)"
"457",2.87535464732889,"SP(1.5)"
"458",2.74176239201341,"SP(1.5)"
"459",2.8677039978797,"SP(1.5)"
"460",2.51711283427118,"SP(1.5)"
"461",2.78650997725411,"SP(1.5)"
"462",1.79306738716416,"SP(1.5)"
"463",3.55298198443151,"SP(1.5)"
"464",2.92592377231635,"SP(1.5)"
"465",2.23238894052174,"SP(1.5)"
"466",2.81979115979145,"SP(1.5)"
"467",2.32761273344293,"SP(1.5)"
"468",3.25034234739541,"SP(1.5)"
"469",4.00767128955448,"SP(1.5)"
"470",4.8299775420327,"SP(1.5)"
"471",2.59027045176646,"SP(1.5)"
"472",2.59466467952047,"SP(1.5)"
"473",1.92446274912575,"SP(1.5)"
"474",4.22202685807811,"SP(1.5)"
"475",2.86182418049595,"SP(1.5)"
"476",3.42233352496603,"SP(1.5)"
"477",3.33196986414236,"SP(1.5)"
"478",2.61124699290892,"SP(1.5)"
"479",4.77645454975634,"SP(1.5)"
"480",4.58822845929086,"SP(1.5)"
"481",2.17104881182954,"SP(1.5)"
"482",1.81919598510317,"SP(1.5)"
"483",2.7039157863173,"SP(1.5)"
"484",2.26271922862283,"SP(1.5)"
"485",2.33121443683425,"SP(1.5)"
"486",1.92428939125874,"SP(1.5)"
"487",4.48825385930266,"SP(1.5)"
"488",2.39652559983316,"SP(1.5)"
"489",2.16201404933304,"SP(1.5)"
"490",2.80847385478102,"SP(1.5)"
"491",3.97471212331496,"SP(1.5)"
"492",2.80194717916119,"SP(1.5)"
"493",2.81323623609425,"SP(1.5)"
"494",2.22584463797673,"SP(1.5)"
"495",2.06012978863144,"SP(1.5)"
"496",2.43417226202521,"SP(1.5)"
"497",2.42137819281588,"SP(1.5)"
"498",1.79309851924273,"SP(1.5)"
"499",4.0156649145302,"SP(1.5)"
"500",3.98494010808835,"SP(1.5)"
"501",2.88596126510716,"Rand(1.5)"
"502",1.60959841977184,"Rand(1.5)"
"503",2.82566405112851,"Rand(1.5)"
"504",3.39617152013495,"Rand(1.5)"
"505",2.90208674449202,"Rand(1.5)"
"506",2.84629917981861,"Rand(1.5)"
"507",4.23913216998855,"Rand(1.5)"
"508",2.62215704003277,"Rand(1.5)"
